NatDex,Pokemon,Votes,Percentage
474,Porygon-Z,23703,0.60991174
551,Sandile,15160,0.39008826
302,Sableye,23481,0.63279166
842,Appletun,13626,0.36720834
79,Slowpoke,16905,0.48695126
195,Quagsire,17811,0.51304874
37,Alolan Vulpix,17619,0.49495744
143,Snorlax,17978,0.50504256
94,Gengar,26089,0.69639378
212,Scizor,11374,0.30360622
494,Victini,13768,0.38694809
359,Absol,21813,0.61305191
453,Croagunk,9673,0.27062642
1,Bulbasaur,26070,0.72937358
443,Gible,14948,0.41727382
155,Cyndaquil,20875,0.58272618
194,Wooper,23662,0.56201606
149,Dragonite,18440,0.43798394
330,Flygon,20980,0.55373733
363,Spheal,16908,0.44626267
253,Grovyle,21245,0.50836304
147,Dratini,20546,0.49163696
?,Lechonk,13125,0.33743830
196,Espeon,25771,0.66256170
133,Eevee,28471,0.73515286
303,Mawile,10257,0.26484714
131,Lapras,20171,0.58173271
181,Ampharos,14503,0.41826729
258,Mudkip,22812,0.56206574
151,Mew,17774,0.43793426
447,Riolu,18866,0.48436457
722,Rowlet,20084,0.51563543
